nameOfIssuer,value,sshPrnamt,Sole,Shared,None
WATSCO INC,28654,298291,285908,0,12383
WATTS WATER TECHNOLOGIES INC,5969,96465,96465,0,0
WAUSAU PAPER CORP,1403,110617,110617,0,0
WCI CMNTYS INC,454,23778,23778,0,0
WD-40 CO,3906,52305,52305,0,0
WEATHERFORD INTERNATIONAL LT,8932,576632,567432,0,9200
WEB COM GROUP INC,3644,114644,114644,0,0
WEBMD HEALTH CORP,10371,262556,262556,0,0
WEBSTER FINL CORP CONN,59916,1921607,1825776,0,95831
WEIGHT WATCHERS INTL INC NEW,5593,169858,169858,0,0
WEINGARTEN RLTY INVS,78058,2846712,2801541,310,44861
WEIS MKTS INC,772,14691,14691,0,0
WELLCARE HEALTH PLANS INC,60648,861236,811762,0,49474
WELLPOINT INC,149830,1621709,1603470,4022,14217
WELLS FARGO & CO NEW,899349,19516980,17765158,113646,1638176
WELLS FARGO ADV GLB DIV OPP,96,13174,13174,0,0
WELLS FARGO ADVANTAGE INCOME,99,10787,10787,0,0
WELLS FARGO ADVANTAGE MULTI,189,13469,6469,0,7000
WENDYS CO,2832,324824,320574,0,4250
WERNER ENTERPRISES INC,1513,61200,61200,0,0
WESBANCO INC,1610,50301,50301,0,0
WESCO AIRCRAFT HLDGS INC,1918,87510,87510,0,0
WESCO INTL INC,17405,191112,41136,0,149976
WEST CORP,29071,1130717,1063516,0,67201
WEST MARINE INC,542,38063,38063,0,0
WEST PHARMACEUTICAL SVSC INC,9019,183843,183843,0,0
WESTAMERICA BANCORPORATION,4330,76692,76692,0,0
WESTAR ENERGY INC,7605,236394,236394,0,0
WESTELL TECHNOLOGIES INC,54,13453,13453,0,0
WESTERN ALLIANCE BANCORP,2305,96623,96623,0,0
WESTERN ASSET CLYM INFL OPP,162,14406,14406,0,0
WESTERN ASSET EMRG MKT DEBT,911,52975,52578,0,397
WESTERN ASSET EMRG MKT INCM,342,28893,28893,0,0
WESTERN ASSET GLB HI INCOME,410,33480,33480,0,0
WESTERN ASSET GLOBAL CP DEFI,236,13061,13061,0,0
WESTERN ASSET HIGH INCM FD I,979,108511,108511,0,0
WESTERN ASSET HIGH INCM OPP,96,16211,16211,0,0
WESTERN ASSET INVT GRADE DEF,221,10946,10946,0,0
WESTERN ASSET MTG CAP CORP,3296,221498,221498,0,0
WESTERN ASSET MUN DEF OPP TR,684,32078,32078,0,0
WESTERN ASSET MUN HI INCM FD,380,56399,56399,0,0
WESTERN ASSET PREMIER BD FD,520,35789,35789,0,0
WESTERN DIGITAL CORP,129897,1548226,1520685,11169,16372
WESTERN GAS EQUITY PARTNERS,16781,424738,424738,0,0
WESTERN GAS PARTNERS LP,224180,3633976,3633976,0,0
WESTERN REFNG INC,109791,2588789,2456253,0,132536
WESTERN REFNG LOGISTICS LP,59531,2301174,2301174,0,0
WESTERN UN CO,36478,2114731,2111553,0,3178
WESTFIELD FINANCIAL INC NEW,91,12159,12159,0,0
WESTLAKE CHEM CORP,36446,298572,283841,0,14731
WESTMORELAND COAL CO,211,10951,10951,0,0
WESTPAC BKG CORP,12620,434416,434416,0,0
WESTPORT INNOVATIONS INC,9253,471832,471832,0,0
WESTWOOD HLDGS GROUP INC,424,6853,6853,0,0
WET SEAL INC,504,184624,184624,0,0
WEX INC,7181,72513,72513,0,0
WEYCO GROUP INC,536,18214,18214,0,0
WEYERHAEUSER CO,80888,2546325,2543335,0,2990
WGL HLDGS INC,3778,94308,94308,0,0
WHIRLPOOL CORP,213537,1361322,1347526,2473,11323
WHITE MTNS INS GROUP LTD,1473,2443,2443,0,0
WHITESTONE REIT,251,18785,18785,0,0
WHITEWAVE FOODS CO,10720,467309,404269,0,63040
WHITING PETE CORP NEW,130971,2116876,2060556,10419,45901
WHOLE FOODS MKT INC,434288,7509756,5356693,18228,2134835
WILEY JOHN & SONS INC,5049,91478,91478,0,0
WILLBROS GROUP INC DEL,1042,110581,110581,0,0
WILLIAMS CLAYTON ENERGY INC,264,3226,3226,0,0
WILLIAMS COS INC DEL,359052,9309098,8885557,0,423541
WILLIAMS PARTNERS L P,228274,4488284,4411842,0,76442
WILLIAMS SONOMA INC,25658,440260,438260,0,2000
WILLIS GROUP HOLDINGS PUBLIC,105039,2344104,2331122,0,12982
WILSHIRE BANCORP INC,1983,181383,181383,0,0
WINDSTREAM HLDGS INC,24210,3033880,3011433,0,22447
WINMARK CORP,564,6091,6091,0,0
WINNEBAGO INDS INC,2101,76535,76535,0,0
WINTHROP RLTY TR,606,54845,54845,0,0
WINTRUST FINL CORP,6447,139785,139785,0,0
WIPRO LTD,2138,169793,169793,0,0
WISCONSIN ENERGY CORP,26797,648209,646285,0,1924
WISDOMTREE INVTS INC,3873,218668,206418,0,12250
WISDOMTREE TR,180972,3773359,97818,0,3675541
WISDOMTREE TRUST,281772,5978910,951397,0,5027513
WOLVERINE WORLD WIDE INC,13406,394771,394771,0,0
WOODWARD INC,8371,183527,183527,0,0
WORKDAY INC,29709,357258,357258,0,0
WORLD ACCEP CORP DEL,7976,91129,91129,0,0
WORLD FUEL SVCS CORP,6316,146347,146347,0,0
WORLD WRESTLING ENTMT INC,337,20336,20336,0,0
WORTHINGTON INDS INC,16579,393997,393997,0,0
WPCS INTL INC,28,12082,12082,0,0
WPP PLC NEW,4993,43469,43469,0,0
WPX ENERGY INC,16970,832679,779946,0,52733
WRIGHT MED GROUP INC,1622,52804,52804,0,0
WSFS FINL CORP,18589,239773,225489,0,14284
WYNDHAM WORLDWIDE CORP,40773,553302,521400,0,31902
WYNN RESORTS LTD,171606,883612,827663,5687,50262
XCEL ENERGY INC,208758,7471674,7431362,0,40312
XENOPORT INC,590,102715,102715,0,0
XERIUM TECHNOLOGIES INC,516,31285,31285,0,0
XEROX CORP,115800,9515270,8203938,137240,1174092
XILINX INC,538987,11737510,9842271,30091,1865148
XINYUAN REAL ESTATE CO LTD,107,20028,20028,0,0
XL GROUP PLC,241409,7581923,7536324,0,45599
XO GROUP INC,765,51490,51490,0,0
XOMA CORP DEL,268,39683,39683,0,0
XOOM CORP,180,6593,6593,0,0
XPO LOGISTICS INC,205,7808,7808,0,0
XYLEM INC,19320,558394,535994,0,22400
XYRATEX LTD,142,10720,10720,0,0
YADKIN FINL CORP,220,12918,12918,0,0
YAHOO INC,195063,4823518,4780096,0,43422
YAMANA GOLD INC,8058,934883,934883,0,0
YANDEX N V,7401,171506,171506,0,0
YELP INC,10155,147284,113804,0,33480
YINGLI GREEN ENERGY HLDG CO,1551,307105,307105,0,0
YORK WTR CO,485,23167,23167,0,0
YOUKU TUDOU INC,24153,797140,795540,0,1600
YPF SOCIEDAD ANONIMA,1451,44044,44044,0,0
YRC WORLDWIDE INC,1455,83781,83781,0,0
YUM BRANDS INC,487773,6451165,5161317,0,1289848
YY INC,2917,58019,58019,0,0
ZAGG INC,106,24325,24325,0,0
ZALE CORP NEW,1605,101764,101764,0,0
ZAZA ENERGY CORP,109,113361,113361,0,0
ZEBRA TECHNOLOGIES CORP,5740,106136,106136,0,0
ZELTIQ AESTHETICS INC,69,3669,3669,0,0
ZEP INC,1151,63372,63372,0,0
ZILLOW INC,5281,64617,64617,0,0
ZIMMER HLDGS INC,54316,582858,569166,0,13692
ZIONS BANCORPORATION,143734,4797562,4759812,9027,28723
ZIOPHARM ONCOLOGY INC,416,95820,95820,0,0
ZIX CORP,233,51144,51144,0,0
ZOETIS INC,77416,2368202,2308903,10864,48435
ZOGENIX INC,332,96483,96483,0,0
ZOLTEK COS INC,788,47023,47023,0,0
ZUMIEZ INC,2907,111815,111815,0,0
ZYGO CORP,558,37755,37755,0,0
ZYNGA INC,2506,659528,647308,0,12220
